response,c_Food.pref,c_Food.disp,c_Character,c_Char.now,c_Knowledge,c_Visibility,c_Disposition,c_Situation,c_Closer,Notes
Adrian does not see the pizza truck at first sight and does not want to eat hot dog,0,1,0,0,0,1,0,0,0,
Drew want to eat hot dog but he chose the longest path because he is sporty,0,1,1,0,0,0,0,0,1,
Taylor maybe had too much hot dog at that day and decide to have pizza and choose the longest path because they are sporty,0,1,1,0,0,0,1,0,1,Had too much  = food disposition
their favourite food is hotdogs,1,0,0,0,0,0,0,0,0,
charlie is lazy,0,0,1,0,0,0,0,0,0,
their favourite food is hot dogs,1,0,0,0,0,0,0,0,0,
they wanted to take a longer route,0,0,0,1,0,0,0,0,1,Long
he wanted to take the long route,0,0,0,1,0,0,0,0,1,Long
he doesnt know the area well,0,0,0,0,1,0,0,0,0,
they don't know the area well,0,0,0,0,1,0,0,0,0,
he doesnt know the area well,0,0,0,0,1,0,0,0,0,
Jesse love hotdogs so they choose to head to the hotdog station and the straight line is the quickest pathway there,1,0,0,0,0,0,0,1,1,quickest
"He doesn't know the area well, so he walked around the place to find the hotdog station.",0,0,0,0,1,0,0,0,0,
He just want to exercise more before he eats the pizza,0,0,0,1,0,0,0,0,0,
"He wants to eat hotdogs but he thinks exercise before eating it is better, so he runs more and chooses a pathway that takes him longer time to the hotdog station",0,1,0,1,0,0,0,0,0,
He is lucky to find the station before he runs a lot in the area,0,0,0,0,1,0,0,1,0,
"He does not know the area well so he walks a lot. However, he is very careless and misses the hotdog station, so he can only get the pizza now",0,0,0,0,1,0,1,0,0,
He wants a hotdog and he is lazy so he chooses the shortest way there,0,1,1,0,0,0,0,0,1,
He wants to have a pizza today to change his diest so he finds the quickest way to the pizza station,0,1,0,0,0,0,0,0,0,
Because the hot dag stand is the nearest and he is lazy.,0,0,1,0,0,0,0,0,1,
because piza stand is the nearest and he is lazy,0,0,1,0,0,0,0,0,1,
because Charlie does not like hot dogs but prefer pizza,1,0,0,0,0,0,0,0,0,
because he is sporty and want to take more walk,0,0,1,1,0,0,0,0,0,
because he prefers hot dogs and wants to take more walk,1,0,0,1,0,0,0,0,0,
because he prefers hot dogs than pizza,1,0,0,0,0,0,0,0,0,
because he prefers hot dogs but he wants to eat pizza today as well.,1,1,0,0,0,0,0,0,0,
he wants to taste pizza as soon as possible.,0,1,0,0,0,0,0,0,0,
They went to the hot dog stand first because it is their favourite but continued on the route because they are sporty.,1,0,1,0,0,0,0,0,0,
Their favourite food is hot dogs.,1,0,0,0,0,0,0,0,0,
He doesn't like pizza so wanted to find something else to eat.,1,0,0,0,0,0,0,0,0,
He wanted to know the area better.,0,0,0,0,0,0,1,0,0,
They wanted to do something else in the area before getting a hot dog.,0,0,0,0,0,0,1,0,0,
They took a long route because they are sporty.,0,0,1,0,0,0,0,0,0,
They had other things to do in the area before getting something to eat.,0,0,0,0,0,0,0,1,0,
They were very hungry.,0,0,0,0,0,0,1,0,0,
he loves hot dogs,1,0,0,0,0,0,0,0,0,
he wants to exercise,0,0,0,1,0,0,0,0,0,
hot dogs are closer to him,0,0,0,0,0,0,0,1,0,Close
the hot dog shop didn't open,0,0,0,0,0,0,0,1,0,
he chose pizza by chance,0,0,0,0,0,0,0,1,0,
he want to get more exercise,0,0,0,1,0,0,0,0,0,
pizza didn't open,0,0,0,0,0,0,0,1,0,
he don;t wan to move to hot dog shop,0,0,0,1,0,0,0,0,0,
"Taylor decided to go for his favorite food and since he knows the area well and is sporty, he knows where the hot dog stand is and does not mind going there too much.",1,0,1,0,1,0,0,0,0,
Jesse went to search the area but was not too convinced with the hot dog stand and therefore picked the pizza one.,0,0,0,0,0,0,1,1,0,
"Harper might have wanted food and since she saw the pizza truck, she decided to eat there.",0,0,0,0,0,1,0,0,0,
Charlie was procrastinating an assignment and so took a longer root for the pizza truck that he knows where it is.,0,0,0,0,1,0,1,0,0,
"Brooklyn might have been going on a walk to get to know the neighbourhood and when she saw that there would be no more food trucks on her way home, she decided to eat a hot dog.",0,0,0,0,0,0,1,0,0,
"Adrian might have wanted food and since he does not know the area well, he chooses the hot dog stand that he sees.",0,0,0,0,1,1,0,0,0,
"I don't know. Maybe Parker was tired of hot dogs so decided to go another way to find a different food truck but when he saw the pizza stand, he got tired of thinking whether he wanted to have pizza and so just went back to the hot dog truck that he knows where it is.",0,1,0,0,1,0,1,0,0,
"Drew might have known the pizza truck and liked it, therefore he chose to go there again.",1,0,0,0,1,0,0,0,0,
They had a hotdog recently and wanted a change of food.,0,1,0,0,0,0,0,0,0,
They were closest to the pizza stall.,0,0,0,0,0,0,0,1,1,Closest
They walked to the pizza stall and realised it was closed.,0,0,0,0,0,0,0,1,0,
"They walked to the hotdog stall, but it was closed so they walked all the way back round to the open pizza stall.",0,0,0,0,0,0,0,1,0,
He wanted a hotdog rather than pizza.,0,1,0,0,0,0,0,0,0,
His favourite food is hotdogs,1,0,0,0,0,0,0,0,0,
"As he is sporty, he wanted a longer walk",0,0,1,1,0,0,0,0,0,
Their favourite food is hotdogs and it is more excercise,1,0,1,0,0,0,0,0,0,
Jesse got lost,0,0,0,0,0,0,0,1,0,
Quicker,0,0,0,0,0,0,1,0,1,
they really wanted pizza,0,1,0,0,0,0,0,0,0,
wanted the quicket way to get hot dog,0,0,0,0,0,0,1,0,1,
