"","P","Pu","K","Ku","C","Cu","S","Su","br","PKu","PCu","PSu","KCu","KSu","CSu","PK","PC","PS","KC","KS","CS","sem","prior","condition","u_set","posterior","node","ces","node3"
"50",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,FALSE,3.71574723086642e-05,"c00000",13,6.60211393041984e-05,"Cu",-0.00746791583766481,"Cu=0"
"51",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,FALSE,0.000153282351003064,"c00000",5,0.000272351019046273,"Cu",-0.00491622970969093,"Cu=0"
"52",0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,FALSE,5.67592132285248e-05,"c00000",13,0.000100849376734471,"Cu",-0.0117909168209999,"Cu=0"
"53",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,FALSE,0.000202095775070548,"c00000",5,0.000359082372662132,"Cu",-0.0102660956824422,"Cu=0"
"54",0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,FALSE,7.48344288481319e-05,"c00000",13,0.000132965294589767,"Cu",-0.00689263020572433,"Cu=0"
"55",0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,FALSE,0.000308707683195622,"c00000",5,0.000548509672219608,"Cu",-0.0099355648713969,"Cu=0"
"56",0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,FALSE,0.000114311955036715,"c00000",13,0.000203108689550296,"Cu",-0.00426079993800281,"Cu=0"
"57",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,FALSE,0.000124845248442481,"c00000",5,0.000221824172280051,"Cu",-0.011714303870985,"Cu=0"
"58",0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,FALSE,4.62291844465074e-05,"c00000",13,8.21396945655714e-05,"Cu",-0.00776332300450921,"Cu=0"
"59",0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,FALSE,0.000190705062444806,"c00000",5,0.00033884343340407,"Cu",0.00330694706829746,"Cu=0"
"60",0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,FALSE,7.06165402098217e-05,"c00000",13,0.00012547097928634,"Cu",-0.00800625124934385,"Cu=0"
"61",0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,FALSE,0.000251435909956064,"c00000",5,0.000446749582409471,"Cu",-0.00740009253123289,"Cu=0"
"62",0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,FALSE,9.31046812181207e-05,"c00000",13,0.000165427752391576,"Cu",-0.00768506315505669,"Cu=0"
"63",0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,FALSE,0.000384076298515513,"c00000",5,0.000682424105630591,"Cu",-0.00486746581191103,"Cu=0"
"64",0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,FALSE,0.000142220342921467,"c00000",13,0.00025269611974439,"Cu",0.00457498963325918,"Cu=0"
"65",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,3.46326834956734e-05,"c00000",1,6.1535112037557e-05,"Cu",-0.00301923237766043,"Cu=0"
"66",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,1.28242022277414e-05,"c00000",9,2.27859536490997e-05,"Cu",-0.0065049512850264,"Cu=0"
"67",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,5.29025185264979e-05,"c00000",1,9.39968283140308e-05,"Cu",-0.00929571621758459,"Cu=0"
"68",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,1.95893741824944e-05,"c00000",9,3.48062642970191e-05,"Cu",-0.00368179412899782,"Cu=0"
"69",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,6.97495531275017e-05,"c00000",1,0.000123930522646521,"Cu",-0.00243096271508633,"Cu=0"
"70",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,2.58276946605486e-05,"c00000",9,4.58904688921152e-05,"Cu",-0.00702161011577328,"Cu=0"
"71",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,0.000106544646677569,"c00000",1,0.000189307789883657,"Cu",0.00458952020719583,"Cu=0"
"72",0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,3.94526198192843e-05,"c00000",9,7.00991414961561e-05,"Cu",-0.00644073387786837,"Cu=0"
"73",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,FALSE,4.30879877915075e-05,"c00000",1,7.65584381168309e-05,"Cu",-0.00259375685620055,"Cu=0"
"74",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,FALSE,1.5955132933715e-05,"c00000",9,2.83489696307512e-05,"Cu",0.000581301972180031,"Cu=0"
"75",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,FALSE,6.58182630489639e-05,"c00000",1,0.000116945433678027,"Cu",0.00456099800421109,"Cu=0"
"76",0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,FALSE,2.43719697817826e-05,"c00000",9,4.33039470154053e-05,"Cu",0.00228320572849392,"Cu=0"
"77",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,FALSE,8.67783720541422e-05,"c00000",1,0.000154187210109074,"Cu",-0.00296362258340694,"Cu=0"
"78",0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,FALSE,3.21333284022167e-05,"c00000",9,5.70942752275329e-05,"Cu",-0.00257555830477759,"Cu=0"
"79",0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,FALSE,0.000132556705744939,"c00000",1,0.000235525836176204,"Cu",-0.00459219467413295,"Cu=0"
"80",0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,FALSE,4.90846746348339e-05,"c00000",9,8.72133097442151e-05,"Cu",-0.00609287184946544,"Cu=0"
"81",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,FALSE,0.000120624038836043,"c00000",1,0.000214323956303468,"Cu",-0.00485257654640296,"Cu=0"
"82",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,FALSE,4.46661047144557e-05,"c00000",9,7.93624253294912e-05,"Cu",-0.00544750368002913,"Cu=0"
"83",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,FALSE,0.000184257031369284,"c00000",1,0.000327386616472645,"Cu",-0.00751542463661379,"Cu=0"
"84",0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,FALSE,6.8228886521548e-05,"c00000",9,0.000121228612758977,"Cu",-0.000178400417591218,"Cu=0"
"85",0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,FALSE,0.000242934475646379,"c00000",1,0.000431644292841258,"Cu",-0.0070301592025373,"Cu=0"
"86",0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,FALSE,8.99566689415992e-05,"c00000",9,0.000159834385993747,"Cu",-0.00565859083236331,"Cu=0"
"87",0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,FALSE,0.000371090088939056,"c00000",1,0.000659350298446971,"Cu",0.00213167803943687,"Cu=0"
"88",0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,FALSE,0.000137411654683343,"c00000",9,0.000244152075806137,"Cu",0.000296423037575642,"Cu=0"
"89",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,FALSE,0.000150073473612839,"c00000",1,0.000266649507936198,"Cu",-0.0103512256423274,"Cu=0"
"90",0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,FALSE,5.55709919178251e-05,"c00000",9,9.87381533437552e-05,"Cu",-0.000816235591326809,"Cu=0"
"91",0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,FALSE,0.00022924197367296,"c00000",1,0.000407315550221182,"Cu",-0.00220889675325028,"Cu=0"
"92",0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,FALSE,8.48864463487468e-05,"c00000",9,0.000150825649626393,"Cu",-0.00244457138149564,"Cu=0"
"93",0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,FALSE,0.000302245066343044,"c00000",1,0.000537026939380586,"Cu",-0.00787884839745547,"Cu=0"
