"","P","Pu","K","Ku","C","Cu","S","Su","br","sem","prior","uprior","condition","posterior"
"93",0,0,1,1,1,0,1,0,0,TRUE,1.18063381429017e-14,1.88901410286428e-13,"c01111",3.6279378301144e-13
"94",1,0,1,1,1,0,1,0,0,TRUE,1.18063381429017e-14,1.88901410286428e-13,"c11111",3.12438372884179e-13
"95",0,1,1,1,1,0,1,0,0,TRUE,2.50576189133152e-15,4.00921902613044e-14,"c01111",7.69988818614875e-14
"96",1,1,1,1,1,0,1,0,0,TRUE,2.50576189133152e-15,4.00921902613044e-14,"c11111",6.63115149411081e-14
"97",0,0,0,0,0,1,1,0,0,FALSE,0.0247122658534633,0.395396253655413,"c00010",0.824814474966666
"98",1,0,0,0,0,1,1,0,0,FALSE,0.0247122658534633,0.395396253655413,"c10010",0.999872029118856
"99",0,1,0,0,0,1,1,0,0,FALSE,0.0052448992460284,0.0839183879364545,"c00010",0.17505755415219
"100",1,1,0,0,0,1,1,0,0,TRUE,0.0052448992460284,0.0839183879364545,"c10011",0.138810606201837
"101",0,0,1,0,0,1,1,0,0,FALSE,0.0247122658534633,0.395396253655413,"c01010",0.824920037631789
"102",1,0,1,0,0,1,1,0,0,FALSE,0.0247122658534633,0.395396253655413,"c11010",0.999999996267081
"103",0,1,1,0,0,1,1,0,0,FALSE,0.0052448992460284,0.0839183879364545,"c01010",0.175079958635292
"104",1,1,1,0,0,1,1,0,0,TRUE,0.0052448992460284,0.0839183879364545,"c11011",0.138798988012706
"105",0,0,0,1,0,1,1,0,0,FALSE,3.16276292899535e-06,5.06042068639257e-05,"c00010",0.000105562665123147
"106",1,0,0,1,0,1,1,0,0,FALSE,3.16276292899535e-06,5.06042068639257e-05,"c10010",0.000127967148224625
"107",0,1,0,1,0,1,1,0,0,FALSE,6.71260701063133e-07,1.07401712170101e-05,"c00010",2.24044831014777e-05
"108",1,1,0,1,0,1,1,0,0,TRUE,6.71260701063133e-07,1.07401712170101e-05,"c10011",1.77654708819432e-05
"109",0,0,1,1,0,1,1,0,0,TRUE,3.16276292899535e-06,5.06042068639257e-05,"c01011",9.71876896875457e-05
"110",1,0,1,1,0,1,1,0,0,TRUE,3.16276292899535e-06,5.06042068639257e-05,"c11011",8.3698136661266e-05
"111",0,1,1,1,0,1,1,0,0,TRUE,6.71260701063133e-07,1.07401712170101e-05,"c01011",2.06269891797078e-05
"112",1,1,1,1,0,1,1,0,0,TRUE,6.71260701063133e-07,1.07401712170101e-05,"c11011",1.7763983945128e-05
"113",0,0,0,0,1,1,1,0,0,FALSE,0.0247122658534633,0.395396253655413,"c00110",0.824814474966666
"114",1,0,0,0,1,1,1,0,0,FALSE,0.0247122658534633,0.395396253655413,"c10110",0.999872029118856
"115",0,1,0,0,1,1,1,0,0,FALSE,0.0052448992460284,0.0839183879364545,"c00110",0.17505755415219
"116",1,1,0,0,1,1,1,0,0,TRUE,0.0052448992460284,0.0839183879364545,"c10111",0.138810606201837
"117",0,0,1,0,1,1,1,0,0,FALSE,0.0247122658534633,0.395396253655413,"c01110",0.824920037631789
"118",1,0,1,0,1,1,1,0,0,FALSE,0.0247122658534633,0.395396253655413,"c11110",0.999999996267081
"119",0,1,1,0,1,1,1,0,0,FALSE,0.0052448992460284,0.0839183879364545,"c01110",0.175079958635292
"120",1,1,1,0,1,1,1,0,0,TRUE,0.0052448992460284,0.0839183879364545,"c11111",0.138798988012706
"121",0,0,0,1,1,1,1,0,0,FALSE,3.16276292899535e-06,5.06042068639257e-05,"c00110",0.000105562665123147
"122",1,0,0,1,1,1,1,0,0,FALSE,3.16276292899535e-06,5.06042068639257e-05,"c10110",0.000127967148224625
"123",0,1,0,1,1,1,1,0,0,FALSE,6.71260701063133e-07,1.07401712170101e-05,"c00110",2.24044831014777e-05
"124",1,1,0,1,1,1,1,0,0,TRUE,6.71260701063133e-07,1.07401712170101e-05,"c10111",1.77654708819432e-05
"125",0,0,1,1,1,1,1,0,0,TRUE,3.16276292899535e-06,5.06042068639257e-05,"c01111",9.71876896875457e-05
"126",1,0,1,1,1,1,1,0,0,TRUE,3.16276292899535e-06,5.06042068639257e-05,"c11111",8.3698136661266e-05
"127",0,1,1,1,1,1,1,0,0,TRUE,6.71260701063133e-07,1.07401712170101e-05,"c01111",2.06269891797078e-05
"128",1,1,1,1,1,1,1,0,0,TRUE,6.71260701063133e-07,1.07401712170101e-05,"c11111",1.7763983945128e-05
"129",0,0,0,0,0,0,0,1,0,FALSE,8.09268318291524e-12,1.29482930926644e-10,"c00000",2.48322738102024e-10
"130",1,0,0,0,0,0,0,1,0,FALSE,8.09268318291524e-12,1.29482930926644e-10,"c10000",3.01026433892853e-10
"131",0,1,0,0,0,0,0,1,0,FALSE,1.71758058027165e-12,2.74812892843464e-11,"c00000",5.27036957908287e-11
"132",1,1,0,0,0,0,0,1,0,TRUE,1.71758058027165e-12,2.74812892843464e-11,"c10001",4.82244699974107e-11
"133",0,0,1,0,0,0,0,1,0,FALSE,8.09268318291524e-12,1.29482930926644e-10,"c01000",2.48354519321729e-10
"134",1,0,1,0,0,0,0,1,0,FALSE,8.09268318291524e-12,1.29482930926644e-10,"c11000",3.01064960317399e-10
"135",0,1,1,0,0,0,0,1,0,FALSE,1.71758058027165e-12,2.74812892843464e-11,"c01000",5.27104409956697e-11
"136",1,1,1,0,0,0,0,1,0,TRUE,1.71758058027165e-12,2.74812892843464e-11,"c11001",4.82198123966735e-11
"137",0,0,0,1,0,0,0,1,0,FALSE,1.03573013170063e-15,1.657168210721e-14,"c00000",3.17812197049359e-14
"138",1,0,0,1,0,0,0,1,0,FALSE,1.03573013170063e-15,1.657168210721e-14,"c10000",3.85264245459934e-14
"139",0,1,0,1,0,0,0,1,0,FALSE,2.19822019520893e-16,3.51715231233429e-15,"c00000",6.74520484105752e-15
"140",1,1,0,1,0,0,0,1,0,TRUE,2.19822019520893e-16,3.51715231233429e-15,"c10001",6.17193772852212e-15
"141",0,0,1,1,0,0,0,1,0,TRUE,1.03573013170063e-15,1.657168210721e-14,"c01001",3.46226730849237e-14
"142",1,0,1,1,0,0,0,1,0,TRUE,1.03573013170063e-15,1.657168210721e-14,"c11001",2.90773622022945e-14
"143",0,1,1,1,0,0,0,1,0,TRUE,2.19822019520893e-16,3.51715231233429e-15,"c01001",7.34827122026751e-15
"144",1,1,1,1,0,0,0,1,0,TRUE,2.19822019520893e-16,3.51715231233429e-15,"c11001",6.17134163235526e-15
"145",0,0,0,0,1,0,0,1,0,FALSE,8.09268318291524e-12,1.29482930926644e-10,"c00100",2.48322738102024e-10
"146",1,0,0,0,1,0,0,1,0,FALSE,8.09268318291524e-12,1.29482930926644e-10,"c10100",3.01026433892853e-10
"147",0,1,0,0,1,0,0,1,0,FALSE,1.71758058027165e-12,2.74812892843464e-11,"c00100",5.27036957908287e-11
"148",1,1,0,0,1,0,0,1,0,TRUE,1.71758058027165e-12,2.74812892843464e-11,"c10101",4.82244699974107e-11
"149",0,0,1,0,1,0,0,1,0,FALSE,8.09268318291524e-12,1.29482930926644e-10,"c01100",2.48354519321729e-10
"150",1,0,1,0,1,0,0,1,0,FALSE,8.09268318291524e-12,1.29482930926644e-10,"c11100",3.01064960317399e-10
"151",0,1,1,0,1,0,0,1,0,FALSE,1.71758058027165e-12,2.74812892843464e-11,"c01100",5.27104409956697e-11
"152",1,1,1,0,1,0,0,1,0,TRUE,1.71758058027165e-12,2.74812892843464e-11,"c11101",4.82198123966735e-11
"153",0,0,0,1,1,0,0,1,0,FALSE,1.03573013170063e-15,1.657168210721e-14,"c00100",3.17812197049359e-14
"154",1,0,0,1,1,0,0,1,0,FALSE,1.03573013170063e-15,1.657168210721e-14,"c10100",3.85264245459934e-14
"155",0,1,0,1,1,0,0,1,0,FALSE,2.19822019520893e-16,3.51715231233429e-15,"c00100",6.74520484105752e-15
"156",1,1,0,1,1,0,0,1,0,TRUE,2.19822019520893e-16,3.51715231233429e-15,"c10101",6.17193772852212e-15
"157",0,0,1,1,1,0,0,1,0,TRUE,1.03573013170063e-15,1.657168210721e-14,"c01101",3.46226730849237e-14
"158",1,0,1,1,1,0,0,1,0,TRUE,1.03573013170063e-15,1.657168210721e-14,"c11101",2.90773622022945e-14
"159",0,1,1,1,1,0,0,1,0,TRUE,2.19822019520893e-16,3.51715231233429e-15,"c01101",7.34827122026751e-15
"160",1,1,1,1,1,0,0,1,0,TRUE,2.19822019520893e-16,3.51715231233429e-15,"c11101",6.17134163235526e-15
"161",0,0,0,0,0,1,0,1,0,FALSE,0.00216792353879996,0.0346867766207993,"c00000",0.0665224001709537
"162",1,0,0,0,0,1,0,1,0,FALSE,0.00216792353879996,0.0346867766207993,"c10000",0.080641028085105
"163",0,1,0,0,0,1,0,1,0,FALSE,0.000460117279472598,0.00736187647156157,"c00000",0.0141186279141513
"164",1,1,0,0,0,1,0,1,0,TRUE,0.000460117279472598,0.00736187647156157,"c10001",0.0129187021523655
"165",0,0,1,0,0,1,0,1,0,FALSE,0.00216792353879996,0.0346867766207993,"c01000",0.0665309139423115
"166",1,0,1,0,0,1,0,1,0,FALSE,0.00216792353879996,0.0346867766207993,"c11000",0.080651348808251
"167",0,1,1,0,0,1,0,1,0,FALSE,0.000460117279472598,0.00736187647156157,"c01000",0.0141204348659395
"168",1,1,1,0,0,1,0,1,0,TRUE,0.000460117279472598,0.00736187647156157,"c11001",0.0129174544422989
"169",0,0,0,1,0,1,0,1,0,FALSE,2.77458499437922e-07,4.43933599100675e-06,"c00000",8.51377135775676e-06
"170",1,0,0,1,0,1,0,1,0,FALSE,2.77458499437922e-07,4.43933599100675e-06,"c10000",1.03207231459878e-05
"171",0,1,0,1,0,1,0,1,0,FALSE,5.88874319795399e-08,9.42198911672638e-07,"c00000",1.80695178823105e-06
"172",1,1,0,1,0,1,0,1,0,TRUE,5.88874319795399e-08,9.42198911672638e-07,"c10001",1.65338105783237e-06
"173",0,0,1,1,0,1,0,1,0,TRUE,2.77458499437922e-07,4.43933599100675e-06,"c01001",9.27495939979984e-06
"174",1,0,1,1,0,1,0,1,0,TRUE,2.77458499437922e-07,4.43933599100675e-06,"c11001",7.78944344412831e-06
"175",0,1,1,1,0,1,0,1,0,TRUE,5.88874319795399e-08,9.42198911672638e-07,"c01001",1.96850535080079e-06
"176",1,1,1,1,0,1,0,1,0,TRUE,5.88874319795399e-08,9.42198911672638e-07,"c11001",1.65322137149815e-06
"177",0,0,0,0,1,1,0,1,0,FALSE,0.00216792353879996,0.0346867766207993,"c00100",0.0665224001709537
"178",1,0,0,0,1,1,0,1,0,FALSE,0.00216792353879996,0.0346867766207993,"c10100",0.080641028085105
"179",0,1,0,0,1,1,0,1,0,FALSE,0.000460117279472598,0.00736187647156157,"c00100",0.0141186279141513
"180",1,1,0,0,1,1,0,1,0,TRUE,0.000460117279472598,0.00736187647156157,"c10101",0.0129187021523655
"181",0,0,1,0,1,1,0,1,0,FALSE,0.00216792353879996,0.0346867766207993,"c01100",0.0665309139423115
"182",1,0,1,0,1,1,0,1,0,FALSE,0.00216792353879996,0.0346867766207993,"c11100",0.080651348808251
"183",0,1,1,0,1,1,0,1,0,FALSE,0.000460117279472598,0.00736187647156157,"c01100",0.0141204348659395
"184",1,1,1,0,1,1,0,1,0,TRUE,0.000460117279472598,0.00736187647156157,"c11101",0.0129174544422989
"185",0,0,0,1,1,1,0,1,0,FALSE,2.77458499437922e-07,4.43933599100675e-06,"c00100",8.51377135775676e-06
"186",1,0,0,1,1,1,0,1,0,FALSE,2.77458499437922e-07,4.43933599100675e-06,"c10100",1.03207231459878e-05
"187",0,1,0,1,1,1,0,1,0,FALSE,5.88874319795399e-08,9.42198911672638e-07,"c00100",1.80695178823105e-06
"188",1,1,0,1,1,1,0,1,0,TRUE,5.88874319795399e-08,9.42198911672638e-07,"c10101",1.65338105783237e-06
"189",0,0,1,1,1,1,0,1,0,TRUE,2.77458499437922e-07,4.43933599100675e-06,"c01101",9.27495939979984e-06
"190",1,0,1,1,1,1,0,1,0,TRUE,2.77458499437922e-07,4.43933599100675e-06,"c11101",7.78944344412831e-06
"191",0,1,1,1,1,1,0,1,0,TRUE,5.88874319795399e-08,9.42198911672638e-07,"c01101",1.96850535080079e-06
"192",1,1,1,1,1,1,0,1,0,TRUE,5.88874319795399e-08,9.42198911672638e-07,"c11101",1.65322137149815e-06
"193",0,0,0,0,0,0,1,1,0,TRUE,8.09268318291524e-12,1.29482930926644e-10,"c00011",2.48707181924621e-10
