"","condObs","node3","normed_count","postces_norm"
"177","1101","Cu=1",0.155172413793103,0.0670567786433643
"178","1101","K=1",0.0172413793103448,0.0977635420181939
"179","1101","Ku=0",0,0.0668191952042327
"180","1101","Ku=1",0.0689655172413793,0.113903134502546
"181","1101","P=1",0.0517241379310345,0.066028950743616
"182","1101","Pu=0",0.172413793103448,0.0667911259413371
"183","1101","Pu=1",0.0689655172413793,0.0674813356706447
"184","1101","S=1",0,0.0623895093683508
"185","1101","Su=0",0.120689655172414,0.0668755016878984
"186","1101","Su=1",0.103448275862069,0.0671726291973682
"187","1101","Unclear",0.0862068965517241,0.0561978741359
"188","1101","Unclear",0.0862068965517241,0.0674105973234227
"189","1110","C=1",0.35,0.0639711473873333
"190","1110","Cu=0",0,0.0647675428810335
"191","1110","Cu=1",0.316666666666667,0.0645790604781787
"192","1110","K=1",0,0.102838235565112
"193","1110","Ku=0",0,0.0645621902692956
"194","1110","Ku=1",0,0.122539442730532
"195","1110","P=1",0.0833333333333333,0.0637614961739215
"196","1110","Pu=0",0.0833333333333333,0.0645339322904244
"197","1110","Pu=1",0.0333333333333333,0.065234017545555
"198","1110","S=0",0,0.075113272887266
"199","1110","Su=0",0.0166666666666667,0.0646293735022462
"200","1110","Su=1",0.0166666666666667,0.0647450940495584
"201","1110","Unclear",0.0166666666666667,0.0534268124272445
"202","1110","Unclear",0.0166666666666667,0.0652983818122983
"203","1111","C=1",0.305084745762712,0.0662741107941348
"204","1111","Cu=0",0,0.066501440403248
"205","1111","Cu=1",0.406779661016949,0.0671223515393867
"206","1111","K=1",0,0.0981512764637608
"207","1111","Ku=0",0,0.0669082399592188
"208","1111","Ku=1",0.0169491525423729,0.113903996268114
"209","1111","P=1",0.0677966101694915,0.0662538837038555
"210","1111","Pu=0",0.0677966101694915,0.0668792554780615
"211","1111","Pu=1",0.0169491525423729,0.0677137538673818
"212","1111","S=1",0.0169491525423729,0.0624173251374128
"213","1111","Su=0",0,0.0669655937660525
"214","1111","Su=1",0.0508474576271186,0.0672117936109444
"215","1111","Unclear",0.0169491525423729,0.0561979404255581
"216","1111","Unclear",0.0169491525423729,0.0674990385828698
